project_id,asset_class,database,sector_code,country,region,invest_usd,supplying_sector,spend_M$,GHG_tCO2e,Employment_FTE,Water_1000m3,ValueAdded_M$,Energy_TJ,NOx_t
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,Agriculture,1.5,187.425,22.44,5.0925,1.14,3.024,0.918
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,Mining_Extraction,3.75,838.08,16.632,5.184,2.1,12.15,3.57
Proj_003,Health,exiobase,Health_General,Europe,Europe,75000000.0,Water_Waste,6.0,438.9,50.544,38.352,4.14,5.184,2.04
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,Construction,11.4,3405.864,226.951,13.71192,5.472,27.702,13.224
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,Energy_Utilities,3.0,953.04,19.314,5.643,1.92,34.425,6.525
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,Manufacturing,9.6,4832.87,102.728,21.45024,4.032,41.472,16.704
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,Transport_Logistics,2.1,470.547,28.283,1.71763,1.26,5.9535,8.526
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,Health_Social,0.9,168.185,23.357,1.21784,0.63,1.0935,0.522
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,Agriculture,0.3,49.392,9.768,2.40075,0.228,1.134,0.3915
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,Mining_Extraction,2.1,899.539,19.663,5.51578,1.176,12.7575,4.263
Hydro_AF,Energy,exiobase,Energy,Africa,Africa,30000000.0,Water_Waste,0.6,92.796,10.238,6.9936,0.414,0.972,0.435
Hydro_AS,Energy,exiobase,Energy,Asia,Asia,150000000.0,Construction,57.0,15812.94,991.116,62.80944,27.36,128.25,61.56
Hydro_AS,Energy,exiobase,Energy,Asia,Asia,150000000.0,Energy_Utilities,15.0,4213.44,86.13,25.992,9.6,159.375,30.375
Hydro_AS,Energy,exiobase,Energy,Asia,Asia,150000000.0,Manufacturing,48.0,22763.52,479.846,104.4288,20.16,192.0,77.76
Hydro_AS,Energy,exiobase,Energy,Asia,Asia,150000000.0,Transport_Logistics,10.5,2227.969,131.859,8.34624,6.3,27.5625,39.69
Hydro_AS,Energy,exiobase,Energy,Asia,Asia,150000000.0,Health_Social,4.5,781.704,102.368,5.69632,3.15,5.0625,2.43
Hydro_AS,Energy,exiobase,Energy,Asia,Asia,150000000.0,Agriculture,1.5,242.55,45.54,11.27625,1.14,5.25,1.8225
Hydro_AS,Energy,exiobase,Energy,Asia,Asia,150000000.0,Mining_Extraction,10.5,4236.96,91.846,26.85312,5.88,59.0625,19.845
Hydro_AS,Energy,exiobase,Energy,Asia,Asia,150000000.0,Water_Waste,3.0,413.82,44.712,34.2912,2.07,4.5,2.025
Hydro_EU,Energy,exiobase,Energy,Europe,Europe,2000000.0,Construction,0.76,126.504,6.512,0.44232,0.3648,0.98496,0.41344
Hydro_EU,Energy,exiobase,Energy,Europe,Europe,2000000.0,Energy_Utilities,0.2,17.389,0.626,0.20064,0.128,1.224,0.204
Hydro_EU,Energy,exiobase,Energy,Europe,Europe,2000000.0,Manufacturing,0.64,186.778,3.244,0.77146,0.2688,1.47456,0.52224
Hydro_EU,Energy,exiobase,Energy,Europe,Europe,2000000.0,Transport_Logistics,0.14,19.012,0.994,0.0629,0.084,0.21168,0.26656
Hydro_EU,Energy,exiobase,Energy,Europe,Europe,2000000.0,Health_Social,0.06,6.001,0.692,0.0419,0.042,0.03888,0.01632
Hydro_EU,Energy,exiobase,Energy,Europe,Europe,2000000.0,Agriculture,0.02,2.499,0.299,0.0679,0.0152,0.04032,0.01224
Hydro_EU,Energy,exiobase,Energy,Europe,Europe,2000000.0,Mining_Extraction,0.14,31.288,0.621,0.19354,0.0784,0.4536,0.13328
Hydro_EU,Energy,exiobase,Energy,Europe,Europe,2000000.0,Water_Waste,0.04,2.926,0.337,0.25568,0.0276,0.03456,0.0136
Rail_EU_DEV,Transport,exiobase,Rail_Dev,Europe,Europe,1998000000.0000002,Construction,699.3,116399.884,5991.602,406.9926,335.664,906.2928,380.4192
Rail_EU_DEV,Transport,exiobase,Rail_Dev,Europe,Europe,1998000000.0000002,Energy_Utilities,199.8,17371.411,625.774,200.43936,127.872,1222.776,203.796
Rail_EU_DEV,Transport,exiobase,Rail_Dev,Europe,Europe,1998000000.0000002,Manufacturing,559.44,163266.97,2835.689,674.34898,234.9648,1288.94976,456.50304
Rail_EU_DEV,Transport,exiobase,Rail_Dev,Europe,Europe,1998000000.0000002,Transport_Logistics,199.8,27132.84,1418.18,89.76614,119.88,302.0976,380.4192
Rail_EU_DEV,Transport,exiobase,Rail_Dev,Europe,Europe,1998000000.0000002,Health_Social,79.92,7993.279,921.829,55.81613,55.944,51.78816,21.73824
Rail_EU_DEV,Transport,exiobase,Rail_Dev,Europe,Europe,1998000000.0000002,Agriculture,19.98,2496.501,298.901,67.8321,15.1848,40.27968,12.22776
Rail_EU_DEV,Transport,exiobase,Rail_Dev,Europe,Europe,1998000000.0000002,Mining_Extraction,159.84,35722.322,708.922,220.96282,89.5104,517.8816,152.16768
Rail_EU_DEV,Transport,exiobase,Rail_Dev,Europe,Europe,1998000000.0000002,Water_Waste,79.92,5846.148,673.246,510.84864,55.1448,69.05088,27.1728
Rail_EU_OP1,Transport,exiobase,Rail_Op,Europe,Europe,140400.0,Construction,0.01404,2.337,0.12,0.00817,0.00674,0.0182,0.00764
Rail_EU_OP1,Transport,exiobase,Rail_Op,Europe,Europe,140400.0,Energy_Utilities,0.04914,4.272,0.154,0.0493,0.03145,0.30074,0.05012
Rail_EU_OP1,Transport,exiobase,Rail_Op,Europe,Europe,140400.0,Manufacturing,0.02106,6.146,0.107,0.02539,0.00885,0.04852,0.01718
Rail_EU_OP1,Transport,exiobase,Rail_Op,Europe,Europe,140400.0,Transport_Logistics,0.02808,3.813,0.199,0.01262,0.01685,0.04246,0.05346
Rail_EU_OP1,Transport,exiobase,Rail_Op,Europe,Europe,140400.0,Health_Social,0.01123,1.123,0.13,0.00784,0.00786,0.00728,0.00306
Rail_EU_OP1,Transport,exiobase,Rail_Op,Europe,Europe,140400.0,Agriculture,0.0014,0.175,0.021,0.00477,0.00107,0.00283,0.00086
Rail_EU_OP1,Transport,exiobase,Rail_Op,Europe,Europe,140400.0,Mining_Extraction,0.00702,1.569,0.031,0.0097,0.00393,0.02274,0.00668
Rail_EU_OP1,Transport,exiobase,Rail_Op,Europe,Europe,140400.0,Water_Waste,0.00842,0.616,0.071,0.05385,0.00581,0.00728,0.00286
Rail_EU_OP2,Transport,exiobase,Rail_Op,Europe,Europe,97200.0,Construction,0.00972,1.618,0.083,0.00566,0.00467,0.0126,0.00529
Rail_EU_OP2,Transport,exiobase,Rail_Op,Europe,Europe,97200.0,Energy_Utilities,0.03402,2.958,0.107,0.03413,0.02177,0.2082,0.0347
Rail_EU_OP2,Transport,exiobase,Rail_Op,Europe,Europe,97200.0,Manufacturing,0.01458,4.255,0.074,0.01757,0.00612,0.03359,0.0119
Rail_EU_OP2,Transport,exiobase,Rail_Op,Europe,Europe,97200.0,Transport_Logistics,0.01944,2.64,0.138,0.00873,0.01166,0.02939,0.03701
Rail_EU_OP2,Transport,exiobase,Rail_Op,Europe,Europe,97200.0,Health_Social,0.00778,0.778,0.09,0.00543,0.00544,0.00504,0.00212
Rail_EU_OP2,Transport,exiobase,Rail_Op,Europe,Europe,97200.0,Agriculture,0.00097,0.121,0.015,0.0033,0.00074,0.00196,0.00059
Rail_EU_OP2,Transport,exiobase,Rail_Op,Europe,Europe,97200.0,Mining_Extraction,0.00486,1.086,0.022,0.00672,0.00272,0.01575,0.00463
Rail_EU_OP2,Transport,exiobase,Rail_Op,Europe,Europe,97200.0,Water_Waste,0.00583,0.427,0.049,0.03728,0.00402,0.00504,0.00198
